beta,day,prop_infected
0.04,28,6.6062468369815964e-06
0.04,29,5.587593653830646e-06
0.04,30,4.7242405381391615e-06
0.04,31,3.9928788042668375e-06
0.04,32,3.373620899095554e-06
0.04,33,2.849514735656306e-06
0.04,34,2.4061233800776617e-06
0.04,35,2.0311621076923046e-06
0.04,36,1.714185626841212e-06
0.04,37,1.4463190253892926e-06
0.04,38,1.2200267095980556e-06
0.04,39,1.0289142686386587e-06
0.04,40,8.675588061559602e-07
0.04,41,7.313638316534144e-07
0.04,42,6.164353000322463e-07
0.04,43,5.19475829825969e-07
0.04,44,4.3769452287043376e-07
0.04,45,3.687301541904456e-07
0.04,46,3.1058580483134865e-07
0.04,47,2.615732762967421e-07
0.04,48,2.2026585712933998e-07
0.04,49,1.854582137405528e-07
0.04,50,1.561323523453933e-07
0.04,51,1.314287499962031e-07
0.04,52,1.1062188313992972e-07
0.04,53,9.309949446641525e-08
0.04,54,7.834503540704204e-08
0.04,55,6.592280455910892e-08
0.04,56,5.546537338356461e-08
0.04,57,4.666295136240795e-08
0.04,58,3.925439481674864e-08
0.04,59,3.3019608006840335e-08
0.04,60,2.7773123030709685e-08
0.04,61,2.335867733574391e-08
0.04,62,1.964463516014171e-08
0.04,63,1.6520122621137917e-08
0.04,64,1.38917660611421e-08
0.04,65,1.1680940164606275e-08
0.04,66,9.821446708211158e-09
0.04,67,8.257556982623774e-09
0.04,68,6.942361249083452e-09
0.04,69,5.836377345005493e-09
0.04,70,4.9063779658929585e-09
0.04,71,4.124402427686075e-09
0.04,72,3.466924026073295e-09
0.04,73,2.9141486035647777e-09
0.04,74,2.4494237358015593e-09
0.04,75,2.0587411615122512e-09
0.04,76,1.7303177956879592e-09
0.04,77,1.4542429593045422e-09
0.04,78,1.2221813960924073e-09
0.04,79,1.0271232824037833e-09
0.04,80,8.631738167457731e-10
0.04,81,7.253761405045355e-10
0.04,82,6.09562324204166e-10
0.04,83,5.122279826120305e-10
0.04,84,4.30426781054158e-10
0.04,85,3.6168168468092086e-10
0.04,86,3.039102992365366e-10
0.04,87,2.553620705973969e-10
0.04,88,2.145654631714341e-10
0.04,89,1.802835345123515e-10
0.04,90,1.5147657391096257e-10
0.04,91,1.2727068363525447e-10
0.04,92,1.0693135910717286e-10
0.04,93,8.98412738634493e-11
0.04,94,7.548160106650322e-11
0.04,95,6.341630933395518e-11
0.04,96,5.3278959881761165e-11
0.04,97,4.4761607073486984e-11
0.04,98,3.7605467667782806e-11
0.04,99,3.159307723768246e-11
0.06,0,0.0005
0.06,1,0.00045997000000000003
0.06,2,0.00041954350756389204
0.06,3,0.00037997729501737087
0.06,4,0.0003421117274889829
0.06,5,0.0003064771933594908
0.06,6,0.0002733759986170938
0.06,7,0.00024294508948105147
0.06,8,0.00021520383025889613
0.06,9,0.0001900901626499528
0.06,10,0.0001674877599544856
0.06,11,0.00014724622616983413
0.06,12,0.00012919594493724827
0.06,13,0.00011315883223284295
0.06,14,9.895597008128597e-05
0.06,15,8.64128809189571e-05
0.06,16,7.536303123648725e-05
0.06,17,6.565001901608791e-05
0.06,18,5.712879449164976e-05
0.06,19,4.966618174885321e-05
0.06,20,4.314090477427968e-05
0.06,21,3.7443271896860055e-05
0.06,22,3.247463408788479e-05
0.06,23,2.8146702883003202e-05
0.06,24,2.43807908546749e-05
0.06,25,2.1107020092583298e-05
0.06,26,1.8263530857862193e-05
0.06,27,1.5795712532595142e-05
0.06,28,1.3655471456823899e-05
0.06,29,1.1800544657182728e-05
0.06,30,1.019386437498653e-05
0.06,31,8.802975346296995e-06
0.06,32,7.599504698862949e-06
0.06,33,6.558682898561705e-06
0.06,34,5.658913236645383e-06
0.06,35,4.881386771866546e-06
0.06,36,4.209739330958429e-06
0.06,37,3.629747052462172e-06
0.06,38,3.1290569758858132e-06
0.06,39,2.696949287888525e-06
0.06,40,2.3241280075972463e-06
0.06,41,2.0025371005600313e-06
0.06,42,1.7251992378668987e-06
0.06,43,1.4860746511368745e-06
0.06,44,1.2799377665887923e-06
0.06,45,1.1022695262824726e-06
0.06,46,9.491635179226163e-07
0.06,47,8.172442339919839e-07
0.06,48,7.035959651845302e-07
0.06,49,6.057010017161148e-07
0.06,50,5.213859692435321e-07
0.06,51,4.4877526435348363e-07
0.06,52,3.862506786755996e-07
0.06,53,3.3241641156303954e-07
0.06,54,2.8606876998398293e-07
0.06,55,2.4616994181612263e-07
0.06,56,2.1182530616107685e-07
0.06,57,1.822638125865751e-07
0.06,58,1.568210212984072e-07
0.06,59,1.3492444901573955e-07
0.06,60,1.1608091157911096e-07
0.06,61,9.986559479766728e-08
0.06,62,8.591262041019894e-08
0.06,63,7.390690489682481e-08
0.06,64,6.357713577614108e-08
0.06,65,5.468971343985275e-08
0.06,66,4.704352694348452e-08
0.06,67,4.0465449869115685e-08
0.06,68,3.480645774135276e-08
0.06,69,2.9938281808222004e-08
0.06,70,2.5750525555845944e-08
0.06,71,2.214818033925177e-08
0.06,72,1.9049485182634835e-08
0.06,73,1.638408330688632e-08
0.06,74,1.4091434433960509e-08
0.06,75,1.2119447530861435e-08
0.06,76,1.0423303507576211e-08
0.06,77,8.964441574936069e-09
0.06,78,7.70968658863961e-09
0.06,79,6.630497831413188e-09
0.06,80,5.70232238325814e-09
0.06,81,4.904038557846527e-09
0.06,82,4.217476891571672e-09
0.06,83,3.6270079040241886e-09
0.06,84,3.1191873424026677e-09
0.06,85,2.682450910166679e-09
0.06,86,2.306851590285365e-09
0.06,87,1.98383363009834e-09
0.06,88,1.7060380791497135e-09
0.06,89,1.4671354815776966e-09
0.06,90,1.2616819364571632e-09
0.06,91,1.084995266468983e-09
0.06,92,9.33048489119031e-10
0.06,93,8.023781755566746e-10
0.06,94,6.900056185646312e-10
0.06,95,5.933690210278432e-10
0.06,96,5.102651656213729e-10
0.06,97,4.387992411753557e-10
0.06,98,3.773416859962023e-10
0.06,99,3.2449106749924104e-10
0.08,0,0.0005
0.08,1,0.00047996
0.08,2,0.000454320774527744
0.08,3,0.00042535662550614216
0.08,4,0.0003947482359469533
0.08,5,0.00036371807900523445
0.08,6,0.0003331367372153597
0.08,7,0.0003036061919003555
0.08,8,0.00027552490149255685
0.08,9,0.00024913849805548676
0.08,10,0.0002245791428571754
0.08,11,0.00020189595383049818
0.08,12,0.00018107841774724748
0.08,13,0.00016207430203551144
0.08,14,0.00014480326470541442
0.08,15,0.00012916710930467292
0.08,16,0.00011505743202100024
0.08,17,0.0001023612494619401
0.08,18,9.096506987842116e-05
0.08,19,8.075777095811907e-05
0.08,20,7.163256845637948e-05
0.08,21,6.348829759649635e-05
0.08,22,5.6230179962464034e-05
0.08,23,4.977020982084332e-05
0.08,24,4.402726328966969e-05
0.08,25,3.892700980631044e-05
0.08,26,3.440168656821947e-05
0.08,27,3.0389781945476712e-05
0.08,28,2.683566242943841e-05
0.08,29,2.368916880289383e-05
0.08,30,2.0905200350359757e-05
0.08,31,1.844330064167296e-05
0.08,32,1.6267254376590178e-05
0.08,33,1.4344701702669827e-05
0.08,34,1.2646774099933841e-05
0.08,35,1.1147754195337156e-05
0.08,36,9.82476059527058e-06
0.08,37,8.657457900883659e-06
0.08,38,7.627791417076743e-06
0.08,39,6.719745617480862e-06
0.08,40,5.9191251345704866e-06
0.08,41,5.213356867275921e-06
0.08,42,4.591311707858656e-06
0.08,43,4.043144362042164e-06
0.08,44,3.560149753513179e-06
0.08,45,3.1346345522183795e-06
0.08,46,2.7598024349823803e-06
0.08,47,2.4296517690475406e-06
0.08,48,2.1388844983702477e-06
0.08,49,1.88282510463763e-06
0.08,50,1.6573486069219186e-06
0.08,51,1.4588166535094391e-06
0.08,52,1.284020845265007e-06
0.08,53,1.130132510982086e-06
0.08,54,9.946582309778842e-07
0.08,55,8.754004754627212e-07
0.08,56,7.704227888961335e-07
0.08,57,6.780190107384549e-07
0.08,58,5.966860769183959e-07
0.08,59,5.250999952338535e-07
0.08,60,4.620946320949726e-07
0.08,61,4.0664298783670076e-07
0.08,62,3.578406736110584e-07
0.08,63,3.148913349521978e-07
0.08,64,2.7709379581481775e-07
0.08,65,2.43830722528356e-07
0.08,66,2.145586299772606e-07
0.08,67,1.88799072683489e-07
0.08,68,1.6613088158275124e-07
0.08,69,1.4618332338201624e-07
0.08,70,1.2863007367366363e-07
0.08,71,1.1318390765348752e-07
0.08,72,9.959202351960795e-08
0.08,73,8.7631923574378e-08
0.08,74,7.710778685308772e-08
0.08,75,6.784727488872842e-08
0.08,76,5.969871910515044e-08
0.08,77,5.252864441345358e-08
0.08,78,4.621958895929957e-08
0.08,79,4.066818471307367e-08
0.08,80,3.5783467782595045e-08
0.08,81,3.148539102353773e-08
0.08,82,2.7703514782863106e-08
0.08,83,2.4375854485951635e-08
0.08,84,2.144786631359879e-08
0.08,85,1.887155445033742e-08
0.08,86,1.660468535584519e-08
0.08,87,1.4610096247619781e-08
0.08,88,1.2855086513187151e-08
0.08,89,1.1310882118185385e-08
0.08,90,9.952164264242036e-09
0.08,91,8.75665459662816e-09
0.08,92,7.70475018299654e-09
0.08,93,6.779202295894779e-09
0.08,94,5.964833746245761e-09
0.08,95,5.248290144128417e-09
0.08,96,4.617821017130779e-09
0.08,97,4.063087204243244e-09
0.08,98,3.5749913726101725e-09
0.08,99,3.145528882423084e-09
0.1,0,0.0005
0.1,1,0.00049995
0.1,2,0.0004898960104995
0.1,3,0.00047284204267011544
0.1,4,0.0004510908192743873
0.1,5,0.00042639409422552254
0.1,6,0.000400071901347217
0.1,7,0.0003731070471305571
0.1,8,0.00034621988929092084
0.1,9,0.0003199274255283905
