day,alpha,prop_infected
49,0.52,0.006762501511781472
50,0.52,0.005735599011575251
51,0.52,0.004864009521663992
52,0.52,0.00412442789262125
53,0.52,0.0034969916634004436
54,0.52,0.002964788439653501
55,0.52,0.0025134290328550253
56,0.52,0.002130679027122178
57,0.52,0.0018061417850834924
58,0.52,0.0015309864180456092
59,0.52,0.0012977148394799208
60,0.52,0.0010999626369396231
61,0.52,0.0009323291001749971
62,0.52,0.0007902323114238451
63,0.52,0.0006697857264123743
64,0.52,0.0005676931467270167
65,0.52,0.0004811594052175019
66,0.52,0.0004078144577777371
67,0.52,0.0003456489004715163
68,0.52,0.0002929592144999244
69,0.52,0.0002483012871886816
70,0.52,0.00021045096922545404
71,0.52,0.0001783706108201967
72,0.52,0.00015118067602160244
73,0.52,0.0001281356684842912
74,0.52,0.00010860371657494469
75,0.52,9.204926351508619e-05
76,0.52,7.801839164065864e-05
77,0.52,6.612638087028347e-05
78,0.52,5.604716189964525e-05
79,0.52,4.750437602101202e-05
80,0.52,4.026379713261015e-05
81,0.52,3.412690859304982e-05
82,0.52,2.8925459068573382e-05
83,0.52,2.4516848251408385e-05
84,0.52,2.0780216009654768e-05
85,0.52,1.761312777155274e-05
86,0.52,1.4928765268131869e-05
87,0.52,1.265354559939899e-05
88,0.52,1.0725103325662066e-05
89,0.52,9.090580236272095e-06
90,0.52,7.705175883952127e-06
91,0.52,6.530919124048312e-06
92,0.52,5.5356269597774645e-06
93,0.52,4.692022132579921e-06
94,0.52,3.976985251606885e-06
95,0.52,3.370920947425718e-06
96,0.52,2.8572206633417465e-06
97,0.52,2.4218073490594966e-06
98,0.52,2.0527495684393425e-06
99,0.52,1.7399344374784952e-06
100,0.52,1.4747904226016007e-06
1,0.54,0.001
2,0.54,0.0013993999999999999
3,0.54,0.0019648682442013595
4,0.54,0.0027635905769938965
5,0.54,0.003889486436295948
6,0.54,0.005473178964903104
7,0.54,0.0076950562364757075
8,0.54,0.01080173635583723
9,0.54,0.015125528092788845
10,0.54,0.021104800439467428
11,0.54,0.029299789903468085
12,0.54,0.040392315990871494
13,0.54,0.05514848902392808
14,0.54,0.0743121463743007
15,0.54,0.09839059608089752
16,0.54,0.12731144135791095
17,0.54,0.15999859305889852
18,0.54,0.19405120438963358
19,0.54,0.22584414940214115
20,0.54,0.25130603756971237
21,0.54,0.2672036003243564
22,0.54,0.27222538123989015
23,0.54,0.26716923264807124
24,0.54,0.2542425394460605
25,0.54,0.23609316920678244
26,0.54,0.21511470861107773
27,0.54,0.19315305251586676
28,0.54,0.17148544553065612
29,0.54,0.15091750655592068
30,0.54,0.1319048750714949
31,0.54,0.11466046065256205
32,0.54,0.09923720513588645
33,0.54,0.08558781582079766
34,0.54,0.07360618284529674
35,0.54,0.06315526438697161
36,0.54,0.05408535369347167
37,0.54,0.046245669630427685
38,0.54,0.03949139268339367
39,0.54,0.03368764302833121
40,0.54,0.028711441557696026
41,0.54,0.02445237029273236
42,0.54,0.020812420619574605
43,0.54,0.017705358891795024
44,0.54,0.01505582888303259
45,0.54,0.012798334771694547
46,0.54,0.01087619645747919
47,0.54,0.009240533771022975
48,0.54,0.007849312443575028
49,0.54,0.006666468986938156
50,0.54,0.005661121405121561
51,0.54,0.004806866182641688
52,0.54,0.004081158062729914
53,0.54,0.0034647669040378756
54,0.54,0.002941304807537592
55,0.54,0.00249681633771418
56,0.54,0.0021194247515495023
57,0.54,0.0017990275108083738
58,0.54,0.0015270348644371649
59,0.54,0.001296145867374096
60,0.54,0.001100156797706622
61,0.54,0.0009337975136783536
62,0.54,0.0007925918367287785
63,0.54,0.0006727385466552325
64,0.54,0.0005710100260673716
65,0.54,0.00048466599322191103
66,0.54,0.0004113801170068527
67,0.54,0.00034917761850672386
68,0.54,0.00029638223408288815
69,0.54,0.00025157114932752476
70,0.54,0.00021353671563598985
71,0.54,0.00018125393532890944
72,0.54,0.0001538528507932392
