alpha,total_ord_inf,total_mis_inf,total
0.5,0.3673103579194692,0.4926836199493708,0.85999397786884
0.52,0.36598312747601386,0.49285700610667904,0.858840133582693
0.54,0.36460250210736395,0.4930308360805625,0.8576333381879264
0.56,0.36316456078759135,0.4932052143872807,0.856369775174872
0.5800000000000001,0.36166494614533135,0.49338026087980935,0.8550452070251406
0.6000000000000001,0.36009880301738445,0.49355611175964853,0.8536549147770329
0.6200000000000001,0.35846070672617436,0.493732920287115,0.8521936270132894
0.6400000000000001,0.35674457874719845,0.4939108570620565,0.850655435809255
0.6600000000000001,0.35494358662575765,0.4940901097371073,0.849033696362865
0.6800000000000002,0.35305002385631257,0.4942708820239013,0.8473209058802138
0.7000000000000002,0.3510551638029671,0.4944533918610969,0.845508555664064
0.7200000000000002,0.34894907938497954,0.49463786863298537,0.843586948017965
0.7400000000000002,0.3467204168046947,0.49482454935941894,0.8415449661641137
0.7600000000000002,0.3443561064280304,0.4950136738217925,0.8393697802498229
0.7800000000000002,0.3418409859251612,0.49520547864581577,0.837046464570977
0.8000000000000003,0.33915729785977705,0.49540019043078315,0.8345574882905602
0.8200000000000003,0.3362840019538306,0.4955980181009477,0.8318820200547783
0.8400000000000003,0.3331958024764776,0.495799144768023,0.8289949472445006
0.8600000000000003,0.32986171329549285,0.49600371955945327,0.8258654328549462
0.8800000000000003,0.326242814943388,0.49621185014085606,0.8224546650842441
0.9000000000000004,0.32228844766600195,0.4964235971778152,0.8187120448438172
0.9200000000000004,0.3179289123712908,0.49663897310408955,0.8145678854753804
0.9400000000000004,0.3130586215459647,0.4968579504324949,0.8099165719784596
0.9600000000000004,0.30748393380398537,0.49708049413668565,0.804564427940671
0.9800000000000004,0.3006515233502478,0.4973066793492884,0.7979582026995362
1.0000000000000004,0.28367714927847054,0.49753807710493675,0.7812152263834073
