recovery,day,prop_infected
3,18,0.0005337129007363653
3,19,0.0005152107426390811
3,20,0.0004972951706247802
3,21,0.0004799595220311982
3,22,0.0004631934214432281
3,23,0.0004469841721271748
3,24,0.0004313176820866563
3,25,0.0004161790796715116
3,26,0.0004015531220489567
3,27,0.0003874244654299778
3,28,0.00037377784299834897
3,29,0.00036059818119123596
3,30,0.0003478706747801146
3,31,0.00033558083439936057
3,32,0.000323714515634477
3,33,0.00031225793575725296
3,34,0.00030119768217768214
3,35,0.00029052071533654174
3,36,0.000280214367864351
3,37,0.0002702663412328012
3,38,0.0002606647007242143
3,39,0.0002513978692768285
3,40,0.00024245462058451815
3,41,0.00023382407170945477
3,42,0.00022549567538555484
3,43,0.00021745921213622886
3,44,0.00020970478229321302
3,45,0.00020222279797829594
3,46,0.0001950039750926649
3,47,0.00018803932534679273
3,48,0.00018132014835553842
3,49,0.00017483802381728579
3,50,0.0001685848037917212
3,51,0.00016255260508773873
3,52,0.0001567338017706127
3,53,0.00015112101779575962
3,54,0.0001457071197749704
3,55,0.0001404852098798213
3,56,0.0001354486188859988
3,57,0.00013059089936144847
3,58,0.00012590581900054885
3,59,0.00012138735410589368
3,60,0.00011702968321872231
3,61,0.00011282718089855853
3,62,0.0001087744116521903
3,63,0.00010486612401174321
3,64,0.00010109724476126108
3,65,9.74628733109048e-05
3,66,9.395827621761196e-05
3,67,9.057888185081981e-05
3,68,8.732027520164391e-05
3,69,8.417819283371702e-05
3,70,8.114851797373009e-05
3,71,7.822727573957428e-05
3,72,7.541062850385948e-05
3,73,7.269487139047927e-05
3,74,7.00764279018024e-05
3,75,6.75518456739963e-05
3,76,6.511779235792624e-05
3,77,6.277105162302508e-05
3,78,6.050851928149041e-05
3,79,5.8327199530138166e-05
3,80,5.6224201307223396e-05
3,81,5.419673476152866e-05
3,82,5.2242107831018134e-05
3,83,5.035772292835972e-05
3,84,4.854107373062799e-05
3,85,4.678974207051672e-05
3,86,4.510139492641069e-05
3,87,4.347378150869175e-05
3,88,4.1904730439683216e-05
3,89,4.039214702466939e-05
3,90,3.8934010611462464e-05
3,91,3.7528372036027355e-05
3,92,3.6173351151715555e-05
3,93,3.486713443970129e-05
3,94,3.3607972698257564e-05
3,95,3.2394178808554885e-05
3,96,3.122412557471211e-05
3,97,3.0096243635876208e-05
3,98,2.9009019448155813e-05
3,99,2.7960993334282108e-05
4,0,0.0005
4,1,0.0006748500000000001
4,2,0.0008207956192365002
4,3,0.0009457610464764709
4,4,0.0010557189142881849
4,5,0.0011551790780190301
4,6,0.0012475551875631519
4,7,0.0013354395981347977
4,8,0.0014208095290747344
4,9,0.0015051816517805327
4,10,0.0015897279918533052
4,11,0.001675362808508931
4,12,0.0017628076977229457
4,13,0.0018526403530998768
4,14,0.0019453310590567224
4,15,0.0020412699713201407
4,16,0.0021407874750090645
4,17,0.002244169336998675
4,18,0.002351667939056738
4,19,0.0024635105555749943
4,20,0.002579905397712718
4,21,0.0027010459642733994
4,22,0.0028271141035359606
4,23,0.0029582820882268594
4,24,0.003094713929352387
4,25,0.0032365660973418375
4,26,0.0033839877761077984
4,27,0.003537120743631922
4,28,0.003696098948853075
4,29,0.0038610478369626748
4,30,0.004032083462197116
4,31,0.0042093114177355236
4,32,0.004392825605522314
4,33,0.0045827068641099925
4,34,0.0047790214694886255
4,35,0.004981819521983076
4,36,0.005191133231393543
4,37,0.005406975112430118
4,38,0.0056293361029958475
4,39,0.005858183618886931
4,40,0.006093459559908324
4,41,0.006335078284169137
4,42,0.006582924569355003
4,43,0.006836851582009462
4,44,0.007096678878229491
4,45,0.007362190461626502
4,46,0.00763313292685445
4,47,0.007909213719387277
4,48,0.008190099544459012
4,49,0.00847541496007597
4,50,0.008764741190680308
4,51,0.009057615199292296
4,52,0.009353529056686433
4,53,0.009651929646264875
4,54,0.009952218742683828
4,55,0.010253753500873104
4,56,0.010555847389784347
4,57,0.010857771601941315
4,58,0.011158756965596305
4,59,0.011457996380993332
4,60,0.011754647795901244
4,61,0.01204783772824023
4,62,0.01233666533534937
4,63,0.012620207020334447
4,64,0.01289752155613616
4,65,0.013167655697648996
4,66,0.013429650241616993
4,67,0.013682546483383073
4,68,0.013925393009149686
4,69,0.01415725275251535
4,70,0.014377210234990046
4,71,0.01458437890226754
4,72,0.014777908461537932
4,73,0.014956992120328045
4,74,0.015120873624493311
4,75,0.015268853992237215
4,76,0.015400297842529526
4,77,0.015514639220092354
4,78,0.015611386825211317
4,79,0.0156901285649201
4,80,0.015750535352438685
4,81,0.015792364093885368
4,82,0.015815459814933902
4,83,0.015819756894899638
4,84,0.015805279391321182
4,85,0.015772140454040125
4,86,0.01572054084364307
4,87,0.015650766584496267
4,88,0.015563185797074162
4,89,0.015458244767495553
4,90,0.015336463323821051
4,91,0.015198429598477798
4,92,0.015044794263973392
4,93,0.014876264334722425
4,94,0.014693596631288587
4,95,0.014497591004665179
4,96,0.01428908341746267
4,97,0.014068938976186537
4,98,0.013838045004362188
4,99,0.013597304240324216
5,0,0.0005
5,1,0.00069985
5,2,0.0008895261214865
5,3,0.001073983512002085
5,4,0.0012574640431785324
5,5,0.0014436636041419968
5,6,0.001635867744352129
5,7,0.0018370620451597908
5,8,0.0020500223032833354
5,9,0.0022773885660871
5,10,0.0025217262161417262
5,11,0.002785576619383053
5,12,0.0030714992937340853
5,13,0.0033821070962953303
5,14,0.003720095545346773
5,15,0.004088267070849213
5,16,0.004489550709706569
5,17,0.004927017518387303
5,18,0.005403891756601657
5,19,0.005923557694651196
5,20,0.006489561708744005
5,21,0.007105609149741779
5,22,0.0077755553000453115
5,23,0.008503389571156534
5,24,0.009293211943557818
5,25,0.010149200516025213
5,26,0.011075568921175245
5,27,0.01207651228881209
5,28,0.013156140412674433
5,29,0.014318396817098292
5,30,0.015566962548874609
5,31,0.016905143760036958
5,32,0.01833574252523313
5,33,0.01986091087874895
5,34,0.021481988784959376
5,35,0.023199327690042622
5,36,0.02501210244999658
5,37,0.026918115782353893
5,38,0.02891360091656662
5,39,0.03099302976268245
5,40,0.033148935587901704
5,41,0.03537176075721982
5,42,0.037649741392474005
5,43,0.03996884163794601
5,44,0.042312750376630015
5,45,0.04466295250862781
5,46,0.046998885102328865
5,47,0.049298185745699795
5,48,0.051537036245731346
5,49,0.053690599568020664
5,50,0.055733541847463
5,51,0.057640624860871
5,52,0.0593873480891947
5,53,0.06095061404694055
5,54,0.062309386561018254
5,55,0.06344530969872586
5,56,0.06434325546002534
5,57,0.06499177130167899
5,58,0.06538340390251178
5,59,0.0655148828782907
5,60,0.06538715674415682
5,61,0.06500528248657361
5,62,0.06437817879201359
5,63,0.0635182605087716
5,64,0.06244097768668727
5,65,0.06116428617891968
5,66,0.05970807819141112
5,67,0.05809360046289532
5,68,0.05634288527847002
5,69,0.054478215715883745
5,70,0.05252164190167952
5,71,0.05049456010701699
5,72,0.04841736166941298
5,73,0.046309154320451
5,74,0.04418755475619965
5,75,0.04206854832696259
5,76,0.039966409575336904
5,77,0.037893675974974575
5,78,0.03586116652707666
5,79,0.033878036740128015
5,80,0.03195186182335928
5,81,0.03008874054187171
5,82,0.028293412999498415
5,83,0.026569386539836634
5,84,0.02491906491127814
5,85,0.0233438767720756
5,86,0.02184440047751533
5,87,0.020420482868779292
5,88,0.019071350459523965
5,89,0.01779571198802205
5,90,0.016591851772797764
5,91,0.015457713685227305
5,92,0.014390975843320292
5,93,0.013389116347818177
5,94,0.012449470536063354
5,95,0.01156928033161271
5,96,0.010745736328251963
5,97,0.009976013274793973
5,98,0.009257299629518123
5,99,0.008586821836851527
6,0,0.0005
6,1,0.0007165166666666667
6,2,0.0009367353452087223
6,3,0.001165272771191503
6,4,0.0014066516570534523
6,5,0.0016653998362347036
6,6,0.0019461421446154193
6,7,0.0022536869688678826
6,8,0.0025931090279394365
6,9,0.002969829610597289
6,10,0.0033896951520088763
6,11,0.0038590546784638005
6,12,0.00438483626341395
6,13,0.004974622200613429
6,14,0.005636722090446596
6,15,0.006380242431354909
6,16,0.00721515058653139
6,17,0.008152330133794312
6,18,0.009203623582787406
6,19,0.010381857242295272
6,20,0.01170084163476151
6,21,0.013175339293983634
6,22,0.014820990078696795
6,23,0.016654182358224405
6,24,0.018691856694999166
6,25,0.020951227146651034
6,26,0.023449404304227976
6,27,0.026202904037260916
6,28,0.029227027101110917
6,29,0.03253509784847739
6,30,0.03613755591871538
6,31,0.040040903608661825
6,32,0.044246524209430836
6,33,0.0487494032117824
6,34,0.05353680473911501
6,35,0.05858697892005875
6,36,0.06386800022730983
6,37,0.06933685899049734
6,38,0.07493894410331724
6,39,0.08060805934058816
6,40,0.08626710354384247
6,41,0.09182951213873805
6,42,0.09720150239385865
6,43,0.10228508974799502
6,44,0.10698175438584784
6,45,0.11119654760684652
6,46,0.11484235112117071
6,47,0.117843954272869
6,48,0.12014160615245885
6,49,0.1216937368580331
6,50,0.12247862144998363
6,51,0.12249486966826455
6,52,0.12176074655697441
6,53,0.12031244422778836
6,54,0.11820151611610355
6,55,0.11549174126459272
6,56,0.11225570398295781
6,57,0.1085713573126546
6,58,0.10451879572018538
6,59,0.10017740429284384
6,60,0.09562348909559645
6,61,0.09092843487607354
6,62,0.08615738765095339
6,63,0.08136842358089619
6,64,0.07661214221157085
6,65,0.07193161022512656
6,66,0.0673625790144218
6,67,0.06293390310042175
6,68,0.05866809426407289
6,69,0.05458195626145244
6,70,0.05068725562660459
6,71,0.046991394305652065
6,72,0.04349805907875809
6,73,0.04020783059789468
6,74,0.03711874130695601
6,75,0.034226776571501916
6,76,0.031526317167940486
6,77,0.029010524045725083
6,78,0.026671668170195416
