day,lambda,value,group
35,1.4,0.04982732237025317,misinformed
36,1.4,0.0532954020584859,misinformed
37,1.4,0.056521229283366725,misinformed
38,1.4,0.05941106062152869,misinformed
39,1.4,0.061876543572453466,misinformed
40,1.4,0.06384065909594228,misinformed
41,1.4,0.06524314801648262,misinformed
42,1.4,0.0660447393807674,misinformed
43,1.4,0.06622964236180398,misinformed
44,1.4,0.06580601553308758,misinformed
45,1.4,0.06480443191561547,misinformed
46,1.4,0.06327464474285122,misinformed
47,1.4,0.061281165918964965,misinformed
48,1.4,0.05889826227900244,misinformed
49,1.4,0.056204953165094496,misinformed
50,1.4,0.05328048325137688,misinformed
51,1.4,0.05020058769856373,misinformed
52,1.4,0.047034702920203834,misinformed
53,1.4,0.04384413546685239,misinformed
54,1.4,0.04068109965568127,misinformed
55,1.4,0.037588474743818295,misinformed
56,1.4,0.034600109169805306,misinformed
57,1.4,0.031741503031173145,misinformed
58,1.4,0.029030720287653272,misinformed
59,1.4,0.026479410458924706,misinformed
60,1.4,0.02409384947938657,misinformed
61,1.4,0.021875936916335305,misinformed
62,1.4,0.019824109932913874,misinformed
63,1.4,0.017934152540415953,misinformed
64,1.4,0.016199892043687342,misinformed
65,1.4,0.01461378378834814,misinformed
66,1.4,0.013167391182053362,misinformed
67,1.4,0.011851771290211486,misinformed
68,1.4,0.010657777811068584,misinformed
69,1.4,0.00957629349828574,misinformed
70,1.4,0.008598403571654914,misinformed
71,1.4,0.007715520670765439,misinformed
72,1.4,0.006919470696661468,misinformed
73,1.4,0.00620254761048731,misinformed
74,1.4,0.005557544015942198,misinformed
75,1.4,0.004977763202724543,misinformed
76,1.4,0.004457017300922514,misinformed
77,1.4,0.0039896153022224365,misinformed
78,1.4,0.0035703439414492538,misinformed
79,1.4,0.0031944437927657852,misinformed
80,1.4,0.00285758240654587,misinformed
81,1.4,0.002555825881725099,misinformed
82,1.4,0.0022856099204868184,misinformed
83,1.4,0.002043711134407306,misinformed
84,1.4,0.0018272191518386761,misinformed
85,1.4,0.0016335099049450583,misinformed
86,1.4,0.0014602203424647878,misinformed
87,1.4,0.0013052247133595613,misinformed
88,1.4,0.001166612490692335,misinformed
89,1.4,0.001042667949115675,misinformed
90,1.4,0.0009318513689730256,misinformed
91,1.4,0.0008327818117499134,misinformed
92,1.4,0.000744221392673323,misinformed
93,1.4,0.0006650609644214211,misinformed
94,1.4,0.00059430711941071,misinformed
95,1.4,0.0005310704155878443,misinformed
96,1.4,0.0004745547309867968,misinformed
97,1.4,0.00042404765468058116,misinformed
98,1.4,0.0003789118255163515,misinformed
99,1.4,0.0003385771346834185,misinformed
100,1.4,0.00030253371335680213,misinformed
1,1.6,0.0005,misinformed
2,1.6,0.00063976,misinformed
3,1.6,0.0007968919875710719,misinformed
4,1.6,0.0009764131012049245,misinformed
5,1.6,0.0011838962564799228,misinformed
6,1.6,0.0014256321456007056,misinformed
7,1.6,0.0017088012092906413,misinformed
8,1.6,0.0020416578175857622,misinformed
9,1.6,0.0024337277779702426,misinformed
10,1.6,0.0028960187331591417,misinformed
11,1.6,0.003441240808355321,misinformed
12,1.6,0.004084031757910258,misinformed
13,1.6,0.004841176526148081,misinformed
14,1.6,0.005731805207705869,misinformed
15,1.6,0.006777545473425148,misinformed
16,1.6,0.008002595253338506,misinformed
17,1.6,0.009433668613872825,misinformed
18,1.6,0.011099752437371298,misinformed
19,1.6,0.013031594442916444,misinformed
20,1.6,0.015260826074597243,misinformed
21,1.6,0.017818610249298143,misinformed
22,1.6,0.020733699578878308,misinformed
23,1.6,0.024029803900753387,misinformed
24,1.6,0.027722207965374113,misinformed
25,1.6,0.03181366375391123,misinformed
26,1.6,0.03628971843746859,misinformed
27,1.6,0.0411138323334906,misinformed
28,1.6,0.0462228791043659,misinformed
29,1.6,0.051523864569122904,misinformed
30,1.6,0.05689288008476835,misinformed
31,1.6,0.06217732301424093,misinformed
32,1.6,0.06720216840029095,misinformed
33,1.6,0.07178050356967013,misinformed
34,1.6,0.07572768158258428,misinformed
35,1.6,0.07887748754645885,misinformed
36,1.6,0.08109793722840394,misinformed
37,1.6,0.08230405189942126,misinformed
38,1.6,0.08246536124739572,misinformed
39,1.6,0.08160691829023616,misinformed
40,1.6,0.07980395913778117,misinformed
41,1.6,0.07717157771539437,misinformed
42,1.6,0.07385155206683167,misinformed
43,1.6,0.06999860740926704,misinformed
44,1.6,0.06576801830840008,misinformed
45,1.6,0.06130577111350301,misinformed
46,1.6,0.05674178194771762,misinformed
47,1.6,0.05218607692813366,misinformed
48,1.6,0.047727468608856086,misinformed
49,1.6,0.04343409971588611,misinformed
50,1.6,0.03935521947353513,misinformed
51,1.6,0.0355236451742924,misinformed
52,1.6,0.031958487873918986,misinformed
53,1.6,0.02866784954376596,misinformed
54,1.6,0.02565130983615512,misinformed
55,1.6,0.022902106355993875,misinformed
56,1.6,0.020408973045362912,misinformed
57,1.6,0.018157640719248486,misinformed
58,1.6,0.01613202685792393,misinformed
59,1.6,0.014315153186669304,misinformed
60,1.6,0.012689833282667404,misinformed
61,1.6,0.011239171425135818,misinformed
62,1.6,0.009946910266143635,misinformed
63,1.6,0.008797660063282798,misinformed
64,1.6,0.007777037073498798,misinformed
65,1.6,0.006871733781050828,misinformed
66,1.6,0.006069539193650899,misinformed
67,1.6,0.005359323601863214,misinformed
68,1.6,0.004730998974141517,misinformed
69,1.6,0.00417546351599703,misinformed
70,1.6,0.003684536792941893,misinformed
71,1.6,0.0032508901298516995,misinformed
72,1.6,0.0028679756814952166,misinformed
73,1.6,0.0025299565531671647,misinformed
74,1.6,0.0022316395777160717,misinformed
75,1.6,0.001968411775641084,misinformed
