total_ord_inf,total_mis_inf,lambda,beta,frac_ord,diff,total_inf,r0,extra_inf,frac_mis
0.0005025100318553179,0.0005025100318553179,1.0,0.001,0.5,0.0,0.0010050200637106359,0.005,0.0,0.5
0.000502511292533594,0.0005030135497179936,1.2,0.001,0.5,5.022571843996343e-07,0.0010055248422515877,0.0055,5.047785409518883e-07,0.5
0.0005025125544777338,0.0005035175731715506,1.4,0.001,0.5,1.00501869381678e-06,0.0010060301276492844,0.006,1.010063938648503e-06,0.5
0.0005025138176896454,0.0005040221029771005,1.6,0.001,0.5,1.5082852874551177e-06,0.0010065359206667458,0.006500000000000001,1.5158569561099164e-06,0.5
0.0005025150821712351,0.0005045271398972799,1.8,0.001,0.5,2.0120577260447766e-06,0.0010070422220685151,0.007000000000000001,2.0221583578792883e-06,0.5
0.0005025163479244189,0.0005050326846962596,2.0,0.001,0.5,2.5163367718407078e-06,0.0010075490326206787,0.0075,2.528968910042815e-06,0.5
0.0005025176149511121,0.0005055387381397414,2.2,0.001,0.5,3.0211231886292976e-06,0.0010080563530908537,0.008,3.0362893802178027e-06,0.5
0.0005025188832532366,0.0005060453009949657,2.4,0.001,0.5,3.5264177417291273e-06,0.0010085641842482022,0.008499999999999999,3.5441205375663296e-06,0.5
0.0005025201528327165,0.0005065523740307195,2.6,0.001,0.5,4.032221198003007e-06,0.001009072526863436,0.009000000000000001,4.052463152800232e-06,0.5
0.0005025214236914808,0.0005070599580173294,2.8,0.001,0.5,4.538534325848652e-06,0.0010095813817088102,0.0095,4.561317998174382e-06,0.5
0.0005025226958314637,0.000507568053726676,3.0,0.001,0.5,5.045357895212344e-06,0.0010100907495581397,0.01,5.070685847503821e-06,0.5
0.0005025239692545982,0.0005080766619321962,3.2,0.001,0.5,5.552692677598036e-06,0.0010106006311867944,0.0105,5.58056747615855e-06,0.5
0.0005025247976686459,0.0005084075324588945,3.33,0.001,0.5,5.882734790248526e-06,0.0010109323301275403,0.010825,5.912266416904441e-06,0.5
0.0005025252439628275,0.0005085857834088786,3.4,0.001,0.5,6.060539446051095e-06,0.001011111027371706,0.011,6.09096366107004e-06,0.5
0.0005025265199580946,0.0005090954189332777,3.6,0.001,0.5,6.568898975183122e-06,0.0010116219388913723,0.011500000000000002,6.601875180736435e-06,0.5
0.0005025277972423483,0.0005096055692835136,3.8,0.001,0.5,7.077772041165237e-06,0.0010121333665258619,0.012,7.113302815226017e-06,0.5
0.00050252907581754,0.0005101162352392745,4.0,0.001,0.5,7.587159421734474e-06,0.0010126453110568144,0.0125,7.625247346178515e-06,0.5
0.0005025303556856273,0.0005106274175818225,4.2,0.001,0.5,8.097061896195188e-06,0.0010131577732674498,0.013000000000000001,8.137709556813987e-06,0.5
0.0005025316368485685,0.000511139117093998,4.4,0.001,0.5,8.607480245429464e-06,0.0010136707539425665,0.0135,8.65069023193066e-06,0.5
0.0005025329193083279,0.0005116513345602227,4.6,0.001,0.5,9.118415251894844e-06,0.0010141842538685508,0.014,9.164190157914896e-06,0.5
0.0005025342030668742,0.0005121640707665044,4.8,0.001,0.5,9.629867699630177e-06,0.0010146982738333786,0.014499999999999999,9.678210122742717e-06,0.5
0.0005025354881261788,0.0005126773265004384,5.0,0.001,0.5,1.0141838374259525e-05,0.0010152128146266172,0.015,1.0192750915981319e-05,0.5
0.0005025367744882178,0.000513191102551216,5.2,0.001,0.5,1.0654328062998123e-05,0.0010157278770394338,0.015500000000000002,1.0707813328797965e-05,0.5
0.0005025380621549705,0.0005137053997096248,5.4,0.001,0.5,1.1167337554654337e-05,0.0010162434618645952,0.016,1.122339815395933e-05,0.5
0.0005025393511284218,0.0005142202187680531,5.6,0.001,0.5,1.168086763963128e-05,0.001016759569896475,0.016499999999999997,1.1739506185839098e-05,0.5
0.0005025406414105581,0.0005147355605204982,5.8,0.001,0.5,1.2194919109940051e-05,0.0010172762019310562,0.016999999999999998,1.2256138220420338e-05,0.5
0.000502541933003374,0.0005152514257625615,6.0,0.001,0.5,1.2709492759187474e-05,0.0010177933587659355,0.017499999999999998,1.2773295055299632e-05,0.5
0.0005025432259088632,0.0005157678152914656,6.2,0.001,0.5,1.322458938260245e-05,0.0010183110412003288,0.018000000000000002,1.3290977489692924e-05,0.5
0.0005025445201290262,0.0005162847299060449,6.4,0.001,0.5,1.3740209777018714e-05,0.001018829250035071,0.0185,1.3809186324435091e-05,0.5
0.0005025458156658687,0.0005168021704067581,6.6,0.001,0.5,1.4256354740889367e-05,0.0010193479860726266,0.018999999999999996,1.4327922361990781e-05,0.5
0.0005025471125213962,0.0005173201375956901,6.8,0.001,0.5,1.4773025074293921e-05,0.0010198672501170862,0.019499999999999997,1.4847186406450295e-05,0.5
0.0005025484106976226,0.0005178386322765547,7.0,0.001,0.5,1.529022157893212e-05,0.0010203870429741774,0.019999999999999997,1.5366979263541514e-05,0.5
0.000502549710196564,0.0005183576552547039,7.2,0.001,0.5,1.580794505813988e-05,0.001020907365451268,0.0205,1.5887301740632066e-05,0.5
0.0005025510110202415,0.0005188772073371228,7.4,0.001,0.5,1.6326196316881255e-05,0.0010214282183573643,0.020999999999999998,1.6408154646728457e-05,0.5
0.0005025523131706787,0.000519397289332443,7.6,0.001,0.5,1.6844976161764285e-05,0.0010219496025031217,0.0215,1.6929538792485833e-05,0.5
0.0005025536166499045,0.0005199179020509422,7.8,0.001,0.5,1.736428540103773e-05,0.0010224715187008467,0.021999999999999995,1.7451454990210797e-05,0.5
